# 	Id 	Name 		Nat 	Glider 	Sponsor 	T 1 	T 2 	T 3 	T 4 	T 5 	T 6 	Total
1 	51 	Russell Ogden 	M 	GBR 	Ozone Enzo 3 	Ozone 	975.8 	512.0/832.0 	608.6 	838.1 	1000.0 	1000.0 	3959
2 	277 	Matthew Henzi 	M 	USA 	Ozone Enzo 3 M 	Cloudsurf Towing and SIV Clinics 	1000.0 	846.4 	604.2 	847.3 	330.7 	638.5/946.8 	3936
3 	73 	Galen kirkpatrick 	F 	USA 	ozone Enzo 3 L 	Kansas 	982.8 	829.2 	601.0 	830.3 	861.6 	633.5/939.3 	3877
4 	85 	Evan Bouchier 	M 	USA 	Ozone Enzo 3 	Northwest Paragliding, Belcourt Enterprises 	967.8 	827.0 	580.9 	558.3 	958.1 	497.7/953.9 	3832
5 	320 	Nick Greece 	M 	USA 	Ozone Enzo 3 Xl 	KAVU, Ozone, Oudie, TAKA, Paragliding Guides 	954.9 	809.8 	582.2 	24.5 	985.2 	490.5/940.1 	3823
6 	13 	Jan Voegeli 	M 	USA 	Ozone Enzo 3 M 		860.4 	820.8 	252.9/543.8 	833.3 	960.6 	946.1 	3814
7 	912 	William Pardis 	M 	PHI 	Gin Boomerang 12 		813.2 	819.4 	260.0/559.1 	821.0 	960.8 	951.6 	3813
8 	100 	Donizete Lemos 	M 	USA 	Ozone Enzo 3 M 	Sol CX Pro Ozone Enzo 	979.6 	331.9/763.2 	586.3 	277.5 	986.1 	927.2 	3811
9 	8888 	Austin Cox 	M 	USA 	Ozone Enzo 3 	Northwest Paragliding 	973.6 	288.8/664.1 	575.2 	558.4 	973.5 	958.7 	3770
10 	89 	Jay Drescher 	M 	USA 	Ozone Zeno 2 ML 	Yerba Cha 	969.5 	798.9 	116.3/542.9 	28.8 	937.9 	925.1 	3748
11 	7117 	Josh Cohn 	M 	USA 	Niviuk Icepeak X-one 22 	Eagle Paragliding, Flytec USA, Litestep.US 	975.0 	387.7/630.1 	593.9 	756.9 	512.0 	988.7 	3702
12 	8675 	Ross Desmond 	M 	USA 	Ozone Enzo 3 ML 	Me 	443.2/849.4 	783.5 	555.1 	47.0 	970.8 	936.5 	3689
13 	200 	Mike Lester 	M 	USA 	Ozone Enzo 3 		572.2/848.5 	786.9 	544.3 	828.4 	206.4 	956.6 	3688
14 	16 	Torsten Siegel 	M 	GER 	Gin Leopard 2 	Gin Gliders, AlphaPet, DHV 	238.6/842.9 	774.6 	451.7 	787.6 	947.6 	938.2 	3687
15 	612 	Austin Adesso 	M 	USA 	Gin Boomerang 12 	SuperFly Paragliding 	938.5 	313.8/721.4 	536.0 	496.5 	953.5 	934.8 	3677
16 	381 	Francisco Mantaras 	M 	ARG 	NIVIUK X1 M 	my self 	954.8 	256.7/590.2 	563.7 	39.2 	932.6 	957.3 	3665
17 	63 	Violeta Jimenez 	F 	USA 	Ozone Enzo 3 S 		573.7/850.7 	807.5 	549.0 	793.0 	93.2 	937.6 	3661
17 	28 	Michal Hammel 	M 	USA 	Ozone Enzo 3 L 	Galen 	444.2/851.5 	784.1 	560.0 	77.1 	941.1 	931.4 	3661
19 	422 	Gavin Mcclurg 	M 	USA 	Niviuk Icepeak X-One 24 	Niviuk, Patagonia, Salewa, ONNIT, Vespa Energy, Kortel Designs 	857.3 	782.5 	106.5/497.5 	61.7 	968.0 	932.5 	3647
20 	408 	Andy Macrae 	M 	USA 	Gin Boom 12 M 	Bozeman Paragliding 	747.2 	443.1/720.1 	520.0 	798.5 	960.6 	908.4 	3631
21 	27 	Alexia Fischer 	F 	USA 	Ozone Zeno 2 ML 	Bozeman Paragliding 	582.2/863.2 	797.4 	550.3 	749.7 	831.9 	950.7 	3630
22 	8 	Vladimir Tsarkov 	M 	CAN 	Ozone Enzo 3 M 	AirQuest Paragliding 	953.8 	446.2/725.1 	544.8 	758.2 	93.5 	916.4 	3619
23 	3388 	Christopher Pak 	M 	USA 	Niviuk XOne 22 	Free Flight Lab 	854.6 	279.3/642.2 	543.2 	467.7 	960.2 	956.8 	3594
24 	7711 	Dustin Pachura 	M 	USA 	Ozone Zeno 2 Large 	Dragonfly Paragliding 	396.5/760.0 	750.8 	530.9 	24.5 	938.7 	931.9 	3549
25 	49 	Jeremy Wilstein 	M 	USA 	Ozone Zeno 2 ML 		426.3/818.6 	427.7 	550.3 	703.7 	930.1 	917.3 	3528
26 	421 	ayumu miyata 	M 	JPN 	Gin Boomerang 10 S 	SkyTEC Flying Academy 	573.2/849.9 	767.9 	537.7 	781.2 	584.7 	850.4 	3510
27 	80 	Eric Ams 	M 	USA 	Ozone Zeno 2 ML 	Northwest 	428.1/820.6 	746.4 	544.6 	40.8 	936.9 	831.9 	3488
28 	11 	Christopher Moody 	M 	USA 	Ozone Zeno II M/S 	Bank of Jackson Hole, Allen's Coffee Flavored Brandy, Jackson Hole Free Flight Club 	782.5 	722.7 	232.1/499.1 	730.2 	903.0 	887.5 	3475
29 	4242 	Cedar Wright 	M 	USA 	Ozone Zeno 2 MS 		567.8/841.9 	779.3 	524.6 	730.4 	47.2 	858.3 	3460
30 	284 	Colin Rathbun 	M 	VGB 	Ozone Zeno 2 XL 	Aeropost.com 	975.1 	729.6 	549.8 	77.6 	383.0/734.1 	819.3 	3457
31 	789 	Joey Jarrell 	M 	USA 	Ozone Zeno 2 ML 	Mom 	934.4 	749.8 	540.1 	612.5 	833.9 	392.7/752.6 	3451
32 	483 	Pete Thompson 	M 	USA 	Ozone Enzo 3 	West Side Lighting 	971.1 	817.2 	601.3 	82.4 	101.0/193.5 	956.3 	3447
33 	137 	William Stites 	M 	USA 	Niviuk X-One 	MMAI 	501.5/743.6 	782.9 	537.1 	771.4 	613.1 	851.2 	3444
34 	101 	Matt Beechinor 	M 	USA 	Ozone Zeno 2 L 	EAGLE Paragliding 	963.4 	783.0 	542.7 	290.4/471.7 	840.0 	205.1 	3420
35 	199 	Brad Gunnuscio 	M 	USA 	Ozone Enzo 3 Xl 	Sivclinic.com 	102.3/196.1 	818.2 	591.3 	76.6 	942.1 	954.6 	3409
36 	405 	Robert Brockie 	M 	USA 	Niviuk X-One 	Bozeman Paragliding 	107.8/206.6 	810.5 	565.4 	79.2 	965.6 	952.9 	3402
